Gene Syn Interval MeanDivPerSitePerYear SEDivPerSitePerYear MeanDivPerSitePerDay SEDivPerSitePerDay
1-PB2 NS 2007 0.000307237864399625 1.67028700255923e-05 8.41747573697603e-07 4.57612877413488e-08
1-PB2 S 2007 0.00662971728135641 0.000127642703925973 1.81636089900176e-05 3.4970603815335e-07
2-PB1 NS 2007 0.000157640349783116 1.37748608869172e-05 4.31891369268812e-07 3.77393448956635e-08
2-PB1 S 2007 0.00598041444197938 9.90767658479958e-05 1.63846971013134e-05 2.71443194104098e-07
3-PA NS 2007 0.00035956105113888 1.67415496759752e-05 9.85098770243506e-07 4.58672593862334e-08
3-PA S 2007 0.00557239192567031 7.9265988008566e-05 1.52668271936173e-05 2.17167090434427e-07
4-HA NS 2007 0.00184257756605586 2.97394804206027e-05 5.04815771522153e-06 8.14780285495963e-08
4-HA S 2007 0.00513727095159431 9.98415266610844e-05 1.40747149358748e-05 2.7353842920845e-07
4-HA-antigenic-Wolf NS 2007 0.0056308224679753 0.000102202715354891 1.54269108711652e-05 2.80007439328469e-07
4-HA-antigenic-Wolf S 2007 0.00180822352836859 0.000203247598209514 4.95403706402353e-06 5.56842734820586e-07
4-HA-nonantigenic-Wolf NS 2007 0.000731516803611309 2.13107622406992e-05 2.00415562633235e-06 5.83856499745184e-08
4-HA-nonantigenic-Wolf S 2007 0.00611774382281832 9.96401563171958e-05 1.67609419803242e-05 2.72986729636153e-07
5-NP NS 2007 -2.08044210857684e-05 1.11618555672125e-05 -5.6998413933612e-08 3.0580426211541e-08
5-NP S 2007 0.00433445191123994 0.000124396908959008 1.18752107157259e-05 3.40813449202761e-07
6-NA NS 2007 0.00124339734375624 3.41423247627984e-05 3.40656806508559e-06 9.35406157884887e-08
6-NA S 2007 0.00431925003889124 0.00011652502912384 1.18335617503869e-05 3.19246655133807e-07
6-NA-nonsurface-Bhatt NS 2007 -0.000116183151579601 2.36805537861937e-05 -3.18310004327674e-07 6.48782295512155e-08
6-NA-nonsurface-Bhatt S 2007 0.0068068790275636 0.000184381534110024 1.86489836371605e-05 5.05154887972668e-07
6-NA-surface-Bhatt NS 2007 0.00277709754267531 5.88872617800854e-05 7.60848641828851e-06 1.61334963781056e-07
6-NA-surface-Bhatt S 2007 0.00136372122087058 0.000122171736074394 3.73622252293309e-06 3.34717085135327e-07
7-M1 NS 2007 0.000103558130754069 1.39865655809699e-05 2.83720906175532e-07 3.83193577560818e-08
7-M1 S 2007 0.00420522672971545 0.000146445265446155 1.15211691225081e-05 4.01219905331931e-07
8-NS1 NS 2007 0.00103406469254129 4.00536049181843e-05 2.83305395216793e-06 1.09735903885436e-07
8-NS1 S 2007 0.00279152906021142 9.80712220147763e-05 7.64802482249705e-06 2.68688279492538e-07
