Gene Syn Interval MeanDivPerSitePerYear SEDivPerSitePerYear MeanDivPerSitePerDay SEDivPerSitePerDay
1-PB2 NS 1968 0.000378887329898742 3.73850838250033e-05 1.03804747917464e-06 1.0242488719179e-07
1-PB2 NS 1978 0.000117587383541904 2.58026371616994e-05 3.22157215183298e-07 7.06921566073957e-08
1-PB2 NS 1988 0.000124036746868445 1.36150140925705e-05 3.39826703749163e-07 3.73014084727959e-08
1-PB2 NS 1998 0.000173465029100115 1.12020033403074e-05 4.75246655068808e-07 3.06904201104313e-08
1-PB2 NS 2008 0.000249941720993541 1.56825625408968e-05 6.84771838338469e-07 4.29659247695802e-08
1-PB2 S 1968 0.00298690340704031 0.000273602432716313 8.18329700558988e-06 7.49595706072091e-07
1-PB2 S 1978 0.00306788441506817 0.000278532105757179 8.40516278100869e-06 7.6310165960871e-07
1-PB2 S 1988 0.00489059359821746 0.000120695083170437 1.33988865704588e-05 3.30671460740923e-07
1-PB2 S 1998 0.00377772727454323 6.93129461690657e-05 1.03499377384746e-05 1.89898482654975e-07
1-PB2 S 2008 0.00335321380124471 9.69675362343107e-05 9.18688712669785e-06 2.65664482833728e-07
2-PB1 NS 1968 0.000467183761371016 3.25142190009034e-05 1.27995551060552e-06 8.90800520572696e-08
2-PB1 NS 1978 0.000181222318375456 3.12427441638417e-05 4.96499502398508e-07 8.55965593529911e-08
2-PB1 NS 1988 0.000214013558009305 1.46521963651027e-05 5.86338515093986e-07 4.01430037400075e-08
2-PB1 NS 1998 0.000210741524499 9.56000891029044e-06 5.77374039723288e-07 2.61918052336724e-08
2-PB1 NS 2008 7.56634694975372e-05 1.08288425100091e-05 2.07297176705581e-07 2.96680616712579e-08
2-PB1 S 1968 0.00661006745493322 0.000253921422664346 1.81097738491321e-05 6.95675130587249e-07
2-PB1 S 1978 0.00693830894292031 0.000314396029068654 1.9009065597042e-05 8.61358983749738e-07
2-PB1 S 1988 0.00739199106101209 0.000148058702123665 2.02520303041427e-05 4.05640279790863e-07
2-PB1 S 1998 0.0039959651738982 8.19209209509594e-05 1.09478497915019e-05 2.24440879317697e-07
2-PB1 S 2008 0.00338093480664398 8.61426284366293e-05 9.26283508669584e-06 2.36007201196245e-07
3-PA NS 1968 0.000209696472562755 2.96767508284414e-05 5.74510883733576e-07 8.13061666532641e-08
3-PA NS 1978 0.000370734565939436 4.4683563723651e-05 1.0157111395601e-06 1.22420722530551e-07
3-PA NS 1988 0.000226780920467582 1.73813372545442e-05 6.21317590322142e-07 4.76201020672443e-08
3-PA NS 1998 0.000255397352330248 1.68305797386335e-05 6.99718773507527e-07 4.6111177366119e-08
3-PA NS 2008 0.000296014234444989 1.42703595054617e-05 8.10997902589012e-07 3.90968753574293e-08
3-PA S 1968 0.00492684712472062 0.000322094972229741 1.34982113006044e-05 8.8245197871162e-07
3-PA S 1978 0.0034442287964158 0.000290748543595082 9.43624327785151e-06 7.96571352315293e-07
3-PA S 1988 0.00572875705855238 0.000114601877811202 1.56952248179517e-05 3.13977747427949e-07
3-PA S 1998 0.00336440606168935 9.12107988991684e-05 9.21755085394342e-06 2.49892599723749e-07
3-PA S 2008 0.00203527094879561 7.92437633117458e-05 5.57608479122085e-06 2.17106200854098e-07
4-HA NS 1968 0.00307797987290129 8.62342323944097e-05 8.43282156959257e-06 2.36258170943588e-07
4-HA NS 1978 0.00120272757060358 6.57839457727462e-05 3.29514402905091e-06 1.80229988418483e-07
